Data da Carga da Base;ExercÌcio_Financeiro (Lan-Ef);aÁ„o (cÛdigo);AÁ„o (nome);Plano OrÁament·rio (cÛdigo);Plano OrÁament·rio (nome);Grupo de Despesa ;Grupo de Despesa (nome);Resultado Lei (c√≥digo);Resultado Lei (nome);Modalidade de Aplica√ß√£o (c√≥digo);Modalidade de Aplica√ß√£o (nome);Fonte (c√≥digo);Fonte (nome);Valor dota√ß√£o inicial;Valor dota√ß√£o atualizada;Valor Total Empenhado;Valor Liquidado;Valor Pago
26/06/2025;2025;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;1;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS ESCOLAS DO LEGISLATIVO E DE CONTAS - ABEL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;10800;10800;9000;9000;9000
26/06/2025;2025;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;2;CONTRIBUICAO A UNIAO NACIONAL DAS INSTITUICOES DE AUTOGESTAO EM SAUDE - UNIDAS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;70696;67496;51598,24;51598,24;51598,24
26/06/2025;2025;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;3;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVAS - ASTRAL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;16800;20000;20000;20000;20000
26/06/2025;2025;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;4;CONTRIBUICAO AO INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA - IBGC;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;7804;7804;6830;6830;6830
26/06/2025;2025;00S6;BENEFICIO ESPECIAL - LEI N. 12.618, DE 2012;1;BENEFICIO ESPECIAL;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;57045218;86320401;57045218;42916185,23;42916185,23
26/06/2025;2025;00UT;CONTRIBUICOES REGULARES A ORGANISMOS DE DIREITO INTERNACIONA;2;CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;275328;275328;227999,94;227999,94;227999,94
26/06/2025;2025;00UT;CONTRIBUICOES REGULARES A ORGANISMOS DE DIREITO INTERNACIONA;3;CONTRIBUICAO A UNIAO INTERPARLAMENTAR;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;1289895;1289895;1058538,76;1058538,76;1058538,76
26/06/2025;2025;00UU;CONTRIBUICOES REGULARES A ORGANISMOS INTERNACIONAIS DE DIREI;2;CONTRIBUICAO A FEDERACAO INTERNACIONAL DAS ASSOCIACOES E INSTITUICOES BIBLIOTECARIAS - IFLA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;5603;5603;4488,29;4488,29;4488,29
26/06/2025;2025;00UU;CONTRIBUICOES REGULARES A ORGANISMOS INTERNACIONAIS DE DIREI;3;CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO - ASPG;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;7762;7762;0;0;0
26/06/2025;2025;00UU;CONTRIBUICOES REGULARES A ORGANISMOS INTERNACIONAIS DE DIREI;5;CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - ICA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;2316;2316;1952,59;1952,59;1952,59
26/06/2025;2025;00UX;DEMAIS APOSENTADORIAS E COMPLEMENTACOES;6;APOSENTADORIA DOS SEGURADOS DO EXTINTO IPC;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;25831780;25831780;24706415,41;12124278,3;12124278,3
26/06/2025;2025;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;2152351456;2195600413;2150131116;1112691170;1112655619
26/06/2025;2025;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;56;CONTRIB.DO SERV.PARA O PLANO SEG.SOC.SERV.PUB;271061850;271061850;271061850;115611885,2;110791892,9
26/06/2025;2025;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O; -; -;1;PESSOAL E ENCARGOS SOCIAIS;0;FINANCEIRO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;153699349;153699349;153698569,6;70367085;70367085
26/06/2025;2025;0Z00;RESERVA DE CONTINGENCIA - FINANCEIRA;1;CPSS DECORRENTE DO ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL - CONCURSOS E PROVIMENTOS - FINANCEIRA;1;PESSOAL E ENCARGOS SOCIAIS;0;FINANCEIRO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;5800482;5800482;0;0;0
26/06/2025;2025;0Z01;RESERVA DE CONTINGENCIA FISCAL - PRIMARIA; -; -;9;RESERVA DE CONTINGENCIA;2;PRIMARIO DISCRICIONARIO;99;RESERVA DE CONTINGENCIA;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;105498811;86043570;0;0;0
26/06/2025;2025;0Z01;RESERVA DE CONTINGENCIA FISCAL - PRIMARIA;1;RECURSOS PARA ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL, ANEXO V DA LOA - CONCURSOS E PROVIMENTOS - PRIMARIA;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;95463021;95463021;0;0;0
