ANO;MES;SENADOR;TIPO_DESPESA;CNPJ_CPF;FORNECEDOR;DOCUMENTO;DATA;DETALHAMENTO;VALOR_DESPESA;COD_DOCUMENTO
2022;1;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;1;ACIR GURGACZ;Divulgação da atividade parlamentar;26.320.603/0001-64;INFORMANAHORA;000000000000310/A;04/01/2022;Despesa com divulgação da atividade parlamentar no website www.informanahora.com;1500;2173615
2022;1;ACIR GURGACZ;Divulgação da atividade parlamentar;13.659.201/0001-47;LINHA PURPURA FOTO E VIDEO LTDA;107;14/01/2022;Despesa com produçãoo de texto e edição de vídeo para divulgação da atividade parlamentar;6000;2173616
2022;1;ACIR GURGACZ;Divulgação da atividade parlamentar;23.652.846/0001-01;ROBERTO GUTIERREZ DA ROCHA M.E.I.;187;18/01/2022;Divulgação da atividade parlamentar;1000;2173618
2022;1;ACIR GURGACZ;Divulgação da atividade parlamentar;08.941.827/0001-01;RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA;000000000001772/A;17/01/2022;Divulgação da atividade parlamentar;2000;2173617
2022;1;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;2;ACIR GURGACZ;Contratação de consultorias;null;null;null;null;null;null;null
2022;2;ACIR GURGACZ;Divulgação da atividade parlamentar;26.320.603/0001-64;INFORMANAHORA;000000000000340/A;16/02/2022;Despesa com divulgação da atividade parlamentar no website www.informanahora.com;1500;2174982
2022;2;ACIR GURGACZ;Divulgação da atividade parlamentar;41.845.127/0001-99;J. J. M. CALADO EIRELI;19;02/02/2022;Divulgação da atividade parlamentar;1000;2174219
2022;2;ACIR GURGACZ;Divulgação da atividade parlamentar;37.153.908/0001-45;JANAINA NUNES DE OLIVEIRA;000000000000067/A;14/02/2022;Despesa com divulgação da atividade parlamentar;1000;2174980
2022;2;ACIR GURGACZ;Divulgação da atividade parlamentar;37.153.908/0001-45;JANAINA NUNES DE OLIVEIRA;000000000000071/A;28/02/2022;Divulgação da atividade parlamentar no site O Observador;1000;2175731
2022;2;ACIR GURGACZ;Divulgação da atividade parlamentar;23.652.846/0001-01;ROBERTO GUTIERREZ DA ROCHA M.E.I.;191;21/02/2022;Despesa com divulgação da atividade parlamentar;1000;2174985
2022;2;ACIR GURGACZ;Divulgação da atividade parlamentar;08.941.827/0001-01;RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA;000000000001797/A;21/02/2022;Divulgação da atividade parlamentar;1000;2174984
2022;2;ACIR GURGACZ;Divulgação da atividade parlamentar;30.637.754/0001-18;RUBENS COITINHO DOS SANTOS;000000000000578/A;23/02/2022;Divulgação da atividade parlamentar;1000;2175728
2022;2;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;3;ACIR GURGACZ;Divulgação da atividade parlamentar;08.742.048/0001-87;CMP COMUNICAÇÃO E ASSESSORIA LTDA -ME;000000000005041/A;09/03/2022;Despesa com divulgação da atividade parlamentar no site rondoniaovivo.com;1000;2176690
2022;3;ACIR GURGACZ;Divulgação da atividade parlamentar;26.320.603/0001-64;INFORMANAHORA;000000000000353/A;07/03/2022;Despesa com divulgação da atividade parlamentar no website www.informanahora.com;1500;2175744
2022;3;ACIR GURGACZ;Divulgação da atividade parlamentar;26.320.603/0001-64;INFORMANAHORA;000000000000362/A;23/03/2022;Despesa com divulgação da atividade parlamentar no website www.informanahora.com;1500;2177635
2022;3;ACIR GURGACZ;Divulgação da atividade parlamentar;41.845.127/0001-99;J. J. M. CALADO EIRELI;23;04/03/2022;Despesa com divulgação da atividade parlamentar;1000;2175740
2022;3;ACIR GURGACZ;Divulgação da atividade parlamentar;37.153.908/0001-45;JANAINA NUNES DE OLIVEIRA;000000000000079/A;30/03/2022;Despesa com divulgação da atividade parlamentar no site o observador;1000;2177637
2022;3;ACIR GURGACZ;Divulgação da atividade parlamentar;13.659.201/0001-47;LINHA PURPURA FOTO E VIDEO LTDA;123;04/03/2022;Despesa com produçãoo de texto e edição de vídeo para divulgação da atividade parlamentar;6000;2175738
2022;3;ACIR GURGACZ;Divulgação da atividade parlamentar;30.637.754/0001-18;RUBENS COITINHO DOS SANTOS;000000000000595/A;31/03/2022;Despesa com divulgação da atividade parlamentar;1000;2177640
2022;3;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;3;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;3;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
